,사업장명,인허가일자,폐업일자,좌표정보(X),좌표정보(Y)
382,강북 북부시장,20110124,20300101,202608.934103734,459320.030764534
383,(주)지에스리테일GS수퍼 강북미아점,20110823,20300101,201602.577531291,457290.100695375
384,(주)이마트에브리데이 미아동점,20111202,20300101,202314.47965444,457821.853133872
385,수유프라자,19981012,20300101,202000.513660624,458815.97773382
386,강북종합시장,20030805,20300101,,
387,롯데쇼핑(주)롯데슈퍼미아점,20120320,20190227,201760.433753367,456845.373829971
388,강북종합시장,20130220,20200522,202168.158127118,459990.614346147
389,성북프라자,20090922,20141222,202266.448738483,457691.802407444
390,(주)지에스리테일번동점,20110823,20161130,202888.313576922,459197.373185929
391,롯데쇼핑(주)롯데슈퍼수유점,20110916,20220115,201956.180985499,458714.365820521
392,롯데쇼핑(주)롯데슈퍼삼양점,20110916,20200704,201731.684416461,457219.335594234
393,금강아미움쇼핑센터,20190328,20300101,203296.164641727,462113.860476609
394,(주)이마트에브리데이 창동점,20120326,20300101,203027.627111443,460124.418353378
395,롯데백화점 미아점,20061214,20300101,202625.646264572,456875.973976242
396,신동아프라자,19890804,20300101,202326.175760253,462116.40856417
397,도봉한신쇼핑상가,20030203,20300101,204169.847670316,464814.717432497
398,대우상가,19951129,20300101,203242.968498731,460001.081136921
399,도봉한양프라자,20101130,20300101,204136.58447783,463573.102150294
400,GS THE FRESH 방학신동아점,20210302,20300101,202338.53055755,461983.524000809
401,(주)에브리데이리테일 창동점,20120105,20300101,203027.627111443,460124.418353378
402,개봉중앙시장,19760806,20300101,,
403,홈플러스(주)방학점,20030625,20300101,203790.013568785,462495.417040876
404,삼익쇼핑,20060904,20300101,203220.921406024,459746.924430501
405,(주) 이마트 창동점,20100402,20300101,204107.090272108,461072.642448925
